,Filings,URLs,Filing Date
186,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000013022777/0000000000-13-022777-index.htm,2013-04-26
187,8-K/A,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000008/0001326801-13-000008-index.htm,2013-04-03
188,SC 13G/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312513095499/0001193125-13-095499-index.htm,2013-03-07
189,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000006/0001326801-13-000006-index.htm,2013-03-06
190,SC 13G,https://www.sec.gov/Archives/edgar/data/1326801/000031506613002447/0000315066-13-002447-index.htm,2013-02-14
191,SC 13G,https://www.sec.gov/Archives/edgar/data/1326801/000119312513059209/0001193125-13-059209-index.htm,2013-02-14
192,SC 13G,https://www.sec.gov/Archives/edgar/data/1326801/000119312513055365/0001193125-13-055365-index.htm,2013-02-13
193,S-8,https://www.sec.gov/Archives/edgar/data/1326801/000119312513034740/0001193125-13-034740-index.htm,2013-02-01
194,CT ORDER,https://www.sec.gov/Archives/edgar/data/1326801/999999999713000618/9999999997-13-000618-index.htm,2013-02-01
195,10-K,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000003/0001326801-13-000003-index.htm,2013-02-01
196,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312513029993/0001193125-13-029993-index.htm,2013-01-30
197,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312512485803/0001193125-12-485803-index.htm,2012-11-29
198,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312512439795/0001193125-12-439795-index.htm,2012-10-29
199,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000132680112000006/0001326801-12-000006-index.htm,2012-10-24
200,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312512431558/0001193125-12-431558-index.htm,2012-10-23
201,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312512423438/0001193125-12-423438-index.htm,2012-10-15
202,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312512379221/0001193125-12-379221-index.htm,2012-09-04
203,CT ORDER,https://www.sec.gov/Archives/edgar/data/1326801/999999999712012947/9999999997-12-012947-index.htm,2012-08-27
204,10-Q,https://www.sec.gov/Archives/edgar/data/1326801/000119312512325997/0001193125-12-325997-index.htm,2012-07-31
205,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312512316895/0001193125-12-316895-index.htm,2012-07-26
206,8-K,https://www.sec.gov/Archives/edgar/data/1326801/000119312512282349/0001193125-12-282349-index.htm,2012-06-25
207,S-8,https://www.sec.gov/Archives/edgar/data/1326801/000119312512241917/0001193125-12-241917-index.htm,2012-05-21
208,424B4,https://www.sec.gov/Archives/edgar/data/1326801/000119312512240111/0001193125-12-240111-index.htm,2012-05-18
209,CT ORDER,https://www.sec.gov/Archives/edgar/data/1326801/999999999712009764/9999999997-12-009764-index.htm,2012-05-18
210,EFFECT,https://www.sec.gov/Archives/edgar/data/1326801/999999999512001584/9999999995-12-001584-index.htm,2012-05-17 16:01:00
211,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512235588/0001193125-12-235588-index.htm,2012-05-16
212,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312512233888/0001193125-12-233888-index.htm,2012-05-15
213,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512232582/0001193125-12-232582-index.htm,2012-05-15
214,CERTNAS,https://www.sec.gov/Archives/edgar/data/1326801/999999999712009505/9999999997-12-009505-index.htm,2012-05-14
215,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312512231717/0001193125-12-231717-index.htm,2012-05-14
216,8-A12B,https://www.sec.gov/Archives/edgar/data/1326801/000119312512230161/0001193125-12-230161-index.htm,2012-05-14
217,FWP,https://www.sec.gov/Archives/edgar/data/1326801/000119312512222498/0001193125-12-222498-index.htm,2012-05-09
218,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512222368/0001193125-12-222368-index.htm,2012-05-09
219,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512208192/0001193125-12-208192-index.htm,2012-05-03
220,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000012022330/0000000000-12-022330-index.htm,2012-05-01
221,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312512181321/0001193125-12-181321-index.htm,2012-04-25
222,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512175673/0001193125-12-175673-index.htm,2012-04-23
223,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000012018239/0000000000-12-018239-index.htm,2012-04-10
224,CORRESP,https://www.sec.gov/Archives/edgar/data/1326801/000119312512135034/0001193125-12-135034-index.htm,2012-03-27
225,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512134663/0001193125-12-134663-index.htm,2012-03-27
226,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000012014938/0000000000-12-014938-index.htm,2012-03-23
227,UPLOAD,https://www.sec.gov/Archives/edgar/data/1326801/000000000012014780/0000000000-12-014780-index.htm,2012-03-22
228,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512101422/0001193125-12-101422-index.htm,2012-03-07
229,S-1/A,https://www.sec.gov/Archives/edgar/data/1326801/000119312512046715/0001193125-12-046715-index.htm,2012-02-08
